Column,2023_value,2024_best_match,Similarity_Score
Health Service Area,New York City,New York City,100.0
Health Service Area,Hudson Valley,Hudson Valley,100.0
Health Service Area,Western NY,Western NY,100.0
Health Service Area,Finger Lakes,Finger Lakes,100.0
Health Service Area,Central NY,Central NY,100.0
Health Service Area,Capital/Adirond,Capital/Adirondacks,87.5
Health Service Area,Long Island,Long Island,100.0
Health Service Area,Southern Tier,Southern Tier,100.0
Hospital County,Bronx,Bronx,100.0
Hospital County,Rockland,Rockland,100.0
Hospital County,Allegany,Allegany,100.0
Hospital County,Livingston,Livingston,100.0
Hospital County,Manhattan,Livingston,47.05882352941176
Hospital County,Westchester,Westchester,100.0
Hospital County,Kings,Kings,100.0
Hospital County,Queens,Queens,100.0
Hospital County,Orange,Orange,100.0
Hospital County,Steuben,Steuben,100.0
Hospital County,Onondaga,Onondaga,100.0
Hospital County,Erie,Erie,100.0
Hospital County,Columbia,Columbia,100.0
Hospital County,Nassau,Nassau,100.0
Hospital County,Herkimer,Herkimer,100.0
Hospital County,Otsego,Otsego,100.0
Hospital County,Schoharie,Schoharie,100.0
Hospital County,Delaware,Delaware,100.0
Hospital County,Monroe,Monroe,100.0
Hospital County,Ontario,Ontario,100.0
Hospital County,Sullivan,Sullivan,100.0
Hospital County,Suffolk,Suffolk,100.0
Hospital County,Oneida,Oneida,100.0
Hospital County,Albany,Albany,100.0
Hospital County,St Lawrence,Saint Lawrence,88.0
Hospital County,Madison,Madison,100.0
Hospital County,Cortland,Cortland,100.0
Hospital County,Chemung,Chemung,100.0
Hospital County,Montgomery,Montgomery,100.0
Hospital County,Cayuga,Cayuga,100.0
Hospital County,Richmond,Richmond,100.0
Hospital County,Tompkins,Tompkins,100.0
Hospital County,Genesee,Genesee,100.0
Hospital County,Yates,Yates,100.0
Hospital County,Wayne,Wayne,100.0
Hospital County,Oswego,Oswego,100.0
Hospital County,Chautauqua,Chautauqua,100.0
Hospital County,Schuyler,Schuyler,100.0
Hospital County,Cattaraugus,Cattaraugus,100.0
Hospital County,Fulton,Fulton,100.0
Hospital County,Putnam,Putnam,100.0
Hospital County,Dutchess,Dutchess,100.0
Hospital County,Niagara,Niagara,100.0
Hospital County,Jefferson,Jefferson,100.0
Hospital County,Saratoga,Saratoga,100.0
Hospital County,Broome,Broome,100.0
Hospital County,Schenectady,Schenectady,100.0
Hospital County,Chenango,Chenango,100.0
Hospital County,Wyoming,Wyoming,100.0
Hospital County,Ulster,Ulster,100.0
Hospital County,Lewis,Lewis,100.0
Hospital County,Warren,Warren,100.0
Hospital County,Franklin,Franklin,100.0
Hospital County,Orleans,Orleans,100.0
Hospital County,Clinton,Clinton,100.0
Hospital County,Essex,Essex,100.0
Hospital County,Rensselaer,Rensselaer,100.0
Permanent Facility Id,3058.0,3058.0,100.0
Permanent Facility Id,1168.0,1168.0,100.0
Permanent Facility Id,1169.0,1169.0,100.0
Permanent Facility Id,776.0,776.0,100.0
Permanent Facility Id,39.0,39.0,100.0
Permanent Facility Id,393.0,393.0,100.0
Permanent Facility Id,1464.0,1464.0,100.0
Permanent Facility Id,1437.0,1437.0,100.0
Permanent Facility Id,1039.0,1039.0,100.0
Permanent Facility Id,1458.0,1458.0,100.0
Permanent Facility Id,1306.0,1306.0,100.0
Permanent Facility Id,1637.0,1637.0,100.0
Permanent Facility Id,3975.0,3975.0,100.0
Permanent Facility Id,10139.0,10139.0,100.0
Permanent Facility Id,1122.0,1122.0,100.0
Permanent Facility Id,694.0,694.0,100.0
Permanent Facility Id,1047.0,1047.0,100.0
Permanent Facility Id,870.0,870.0,100.0
Permanent Facility Id,1466.0,1466.0,100.0
Permanent Facility Id,1186.0,1186.0,100.0
Permanent Facility Id,1692.0,1692.0,100.0
Permanent Facility Id,1294.0,1294.0,100.0
Permanent Facility Id,1165.0,1165.0,100.0
Permanent Facility Id,1469.0,1469.0,100.0
Permanent Facility Id,1639.0,1639.0,100.0
Permanent Facility Id,1633.0,1633.0,100.0
Permanent Facility Id,1626.0,1626.0,100.0
Permanent Facility Id,1301.0,1301.0,100.0
Permanent Facility Id,1486.0,1486.0,100.0
Permanent Facility Id,1454.0,1454.0,100.0
Permanent Facility Id,1445.0,1445.0,100.0
Permanent Facility Id,1456.0,1456.0,100.0
Permanent Facility Id,1172.0,1172.0,100.0
Permanent Facility Id,1438.0,1438.0,100.0
Permanent Facility Id,1046.0,1046.0,100.0
Permanent Facility Id,1072.0,1072.0,100.0
Permanent Facility Id,1061.0,1061.0,100.0
Permanent Facility Id,1045.0,1045.0,100.0
Permanent Facility Id,9059.0,9059.0,100.0
Permanent Facility Id,1439.0,1439.0,100.0
Permanent Facility Id,280.0,280.0,100.0
Permanent Facility Id,1324.0,1324.0,100.0
Permanent Facility Id,708.0,708.0,100.0
Permanent Facility Id,779.0,779.0,100.0
Permanent Facility Id,704.0,704.0,100.0
Permanent Facility Id,146.0,146.0,100.0
Permanent Facility Id,1463.0,1463.0,100.0
Permanent Facility Id,1304.0,1304.0,100.0
Permanent Facility Id,511.0,511.0,100.0
Permanent Facility Id,362.0,362.0,100.0
Permanent Facility Id,746.0,746.0,100.0
Permanent Facility Id,739.0,739.0,100.0
Permanent Facility Id,10216.0,10216.0,100.0
Permanent Facility Id,165.0,165.0,100.0
Permanent Facility Id,413.0,413.0,100.0
Permanent Facility Id,409.0,409.0,100.0
Permanent Facility Id,678.0,678.0,100.0
Permanent Facility Id,699.0,699.0,100.0
Permanent Facility Id,971.0,971.0,100.0
Permanent Facility Id,1138.0,1138.0,100.0
Permanent Facility Id,1446.0,1446.0,100.0
Permanent Facility Id,885.0,885.0,100.0
Permanent Facility Id,1447.0,1447.0,100.0
Permanent Facility Id,775.0,775.0,100.0
Permanent Facility Id,528.0,528.0,100.0
Permanent Facility Id,1320.0,1320.0,100.0
Permanent Facility Id,10223.0,10223.0,100.0
Permanent Facility Id,1124.0,1124.0,100.0
Permanent Facility Id,599.0,589.0,75.0
Permanent Facility Id,598.0,58.0,85.71428571428572
Permanent Facility Id,1.0,1.0,100.0
Permanent Facility Id,1175.0,1175.0,100.0
Permanent Facility Id,804.0,804.0,100.0
Permanent Facility Id,1293.0,1293.0,100.0
Permanent Facility Id,636.0,636.0,100.0
Permanent Facility Id,968.0,968.0,100.0
Permanent Facility Id,866.0,866.0,100.0
Permanent Facility Id,401.0,401.0,100.0
Permanent Facility Id,158.0,158.0,100.0
Permanent Facility Id,924.0,924.0,100.0
Permanent Facility Id,397.0,397.0,100.0
Permanent Facility Id,1288.0,1288.0,100.0
Permanent Facility Id,1164.0,1164.0,100.0
Permanent Facility Id,1178.0,1178.0,100.0
Permanent Facility Id,118.0,118.0,100.0
Permanent Facility Id,482.0,482.0,100.0
Permanent Facility Id,873.0,873.0,100.0
Permanent Facility Id,116.0,116.0,100.0
Permanent Facility Id,817.0,817.0,100.0
Permanent Facility Id,1628.0,1628.0,100.0
Permanent Facility Id,1629.0,1629.0,100.0
